model,repeat_index,iteration,carried_forward,motor_distance_steps
gpt_5_6_sol,4,19,True,127.81627439414747
gpt_5_6_sol,4,20,True,127.81627439414747
gpt_5_6_sol,4,21,True,127.81627439414747
gpt_5_6_sol,4,22,True,127.81627439414747
gpt_5_6_sol,4,23,True,127.81627439414747
gpt_5_6_sol,4,24,True,127.81627439414747
gpt_5_6_sol,4,25,True,127.81627439414747
gpt_5_6_sol,4,26,True,127.81627439414747
gpt_5_6_sol,4,27,True,127.81627439414747
gpt_5_6_sol,4,28,True,127.81627439414747
gpt_5_6_sol,4,29,True,127.81627439414747
gpt_5_6_sol,4,30,True,127.81627439414747
gpt_5_6_sol,4,31,True,127.81627439414747
gpt_5_6_sol,4,32,True,127.81627439414747
gpt_5_6_sol,4,33,True,127.81627439414747
gpt_5_6_sol,4,34,True,127.81627439414747
gpt_5_6_sol,4,35,True,127.81627439414747
gpt_5_6_sol,4,36,True,127.81627439414747
gpt_5_6_sol,4,37,True,127.81627439414747
gpt_5_6_sol,4,38,True,127.81627439414747
gpt_5_6_sol,4,39,True,127.81627439414747
gpt_5_6_sol,4,40,True,127.81627439414747
gpt_5_6_sol,4,41,True,127.81627439414747
gpt_5_6_sol,4,42,True,127.81627439414747
gpt_5_6_sol,4,43,True,127.81627439414747
gpt_5_6_sol,4,44,True,127.81627439414747
gpt_5_6_sol,4,45,True,127.81627439414747
gpt_5_6_sol,4,46,True,127.81627439414747
gpt_5_6_sol,4,47,True,127.81627439414747
gpt_5_6_sol,4,48,True,127.81627439414747
gpt_5_6_sol,4,49,True,127.81627439414747
gpt_5_6_sol,4,50,True,127.81627439414747
gpt_5_6_sol,4,51,True,127.81627439414747
gpt_5_6_sol,5,0,False,2132.6312386345653
gpt_5_6_sol,5,1,False,1802.253034398888
gpt_5_6_sol,5,2,False,2578.394073837434
gpt_5_6_sol,5,3,False,3801.0677447264734
gpt_5_6_sol,5,4,False,3160.0025316445553
gpt_5_6_sol,5,5,False,2013.9801389288823
gpt_5_6_sol,5,6,False,1861.2135825852981
gpt_5_6_sol,5,7,False,650.0123075757874
gpt_5_6_sol,5,8,False,1650.0048484777249
gpt_5_6_sol,5,9,False,2650.003018866205
gpt_5_6_sol,5,10,False,1350.0059259129198
gpt_5_6_sol,5,11,False,230.0347799790284
gpt_5_6_sol,5,12,False,638.8395729758763
gpt_5_6_sol,5,13,False,1225.7715937318828
gpt_5_6_sol,5,14,False,1217.9146111283828
gpt_5_6_sol,5,15,False,253.25086376950424
gpt_5_6_sol,5,16,False,253.25086376950424
gpt_5_6_sol,5,17,True,253.25086376950424
gpt_5_6_sol,5,18,True,253.25086376950424
gpt_5_6_sol,5,19,True,253.25086376950424
gpt_5_6_sol,5,20,True,253.25086376950424
gpt_5_6_sol,5,21,True,253.25086376950424
gpt_5_6_sol,5,22,True,253.25086376950424
gpt_5_6_sol,5,23,True,253.25086376950424
gpt_5_6_sol,5,24,True,253.25086376950424
gpt_5_6_sol,5,25,True,253.25086376950424
gpt_5_6_sol,5,26,True,253.25086376950424
gpt_5_6_sol,5,27,True,253.25086376950424
gpt_5_6_sol,5,28,True,253.25086376950424
gpt_5_6_sol,5,29,True,253.25086376950424
gpt_5_6_sol,5,30,True,253.25086376950424
gpt_5_6_sol,5,31,True,253.25086376950424
gpt_5_6_sol,5,32,True,253.25086376950424
gpt_5_6_sol,5,33,True,253.25086376950424
gpt_5_6_sol,5,34,True,253.25086376950424
gpt_5_6_sol,5,35,True,253.25086376950424
gpt_5_6_sol,5,36,True,253.25086376950424
gpt_5_6_sol,5,37,True,253.25086376950424
gpt_5_6_sol,5,38,True,253.25086376950424
gpt_5_6_sol,5,39,True,253.25086376950424
gpt_5_6_sol,5,40,True,253.25086376950424
gpt_5_6_sol,5,41,True,253.25086376950424
gpt_5_6_sol,5,42,True,253.25086376950424
gpt_5_6_sol,5,43,True,253.25086376950424
gpt_5_6_sol,5,44,True,253.25086376950424
gpt_5_6_sol,5,45,True,253.25086376950424
gpt_5_6_sol,5,46,True,253.25086376950424
gpt_5_6_sol,5,47,True,253.25086376950424
gpt_5_6_sol,5,48,True,253.25086376950424
gpt_5_6_sol,5,49,True,253.25086376950424
gpt_5_6_sol,5,50,True,253.25086376950424
gpt_5_6_sol,5,51,True,253.25086376950424
gpt_5_6_sol,6,0,False,3185.50780881165
gpt_5_6_sol,6,1,False,2436.279951072947
gpt_5_6_sol,6,2,False,1873.8890041835455
gpt_5_6_sol,6,3,False,2832.553618203899
gpt_5_6_sol,6,4,False,670.3431956841212
gpt_5_6_sol,6,5,False,1668.9397832156797
gpt_5_6_sol,6,6,False,1333.1766574614182
gpt_5_6_sol,6,7,False,1608.558360769046
gpt_5_6_sol,6,8,False,287.3673607075097
gpt_5_6_sol,6,9,False,714.5488086897914
gpt_5_6_sol,6,10,False,1286.3047850334694
gpt_5_6_sol,6,11,False,917.7036558715455
gpt_5_6_sol,6,12,False,971.0715730573107
gpt_5_6_sol,6,13,False,287.3673607075097
gpt_5_6_sol,6,14,True,287.3673607075097
gpt_5_6_sol,6,15,True,287.3673607075097
gpt_5_6_sol,6,16,True,287.3673607075097
gpt_5_6_sol,6,17,True,287.3673607075097
gpt_5_6_sol,6,18,True,287.3673607075097
gpt_5_6_sol,6,19,True,287.3673607075097
gpt_5_6_sol,6,20,True,287.3673607075097
gpt_5_6_sol,6,21,True,287.3673607075097
gpt_5_6_sol,6,22,True,287.3673607075097
gpt_5_6_sol,6,23,True,287.3673607075097
gpt_5_6_sol,6,24,True,287.3673607075097
gpt_5_6_sol,6,25,True,287.3673607075097
gpt_5_6_sol,6,26,True,287.3673607075097
gpt_5_6_sol,6,27,True,287.3673607075097
gpt_5_6_sol,6,28,True,287.3673607075097
gpt_5_6_sol,6,29,True,287.3673607075097
gpt_5_6_sol,6,30,True,287.3673607075097
gpt_5_6_sol,6,31,True,287.3673607075097
gpt_5_6_sol,6,32,True,287.3673607075097
gpt_5_6_sol,6,33,True,287.3673607075097
gpt_5_6_sol,6,34,True,287.3673607075097
gpt_5_6_sol,6,35,True,287.3673607075097
gpt_5_6_sol,6,36,True,287.3673607075097
gpt_5_6_sol,6,37,True,287.3673607075097
gpt_5_6_sol,6,38,True,287.3673607075097
gpt_5_6_sol,6,39,True,287.3673607075097
gpt_5_6_sol,6,40,True,287.3673607075097
gpt_5_6_sol,6,41,True,287.3673607075097
gpt_5_6_sol,6,42,True,287.3673607075097
gpt_5_6_sol,6,43,True,287.3673607075097
gpt_5_6_sol,6,44,True,287.3673607075097
gpt_5_6_sol,6,45,True,287.3673607075097
gpt_5_6_sol,6,46,True,287.3673607075097
gpt_5_6_sol,6,47,True,287.3673607075097
gpt_5_6_sol,6,48,True,287.3673607075097
gpt_5_6_sol,6,49,True,287.3673607075097
gpt_5_6_sol,6,50,True,287.3673607075097
gpt_5_6_sol,6,51,True,287.3673607075097
gpt_5_6_sol,7,0,False,1843.9023835333583
gpt_5_6_sol,7,1,False,2548.7204632913354
gpt_5_6_sol,7,2,False,2881.662020431959
gpt_5_6_sol,7,3,False,1843.6583197545037
gpt_5_6_sol,7,4,False,2838.8511760921883
gpt_5_6_sol,7,5,False,1191.2497639034393
gpt_5_6_sol,7,6,False,2181.530655296872
gpt_5_6_sol,7,7,False,776.5796803934545
gpt_5_6_sol,7,8,False,1224.3675918612025
gpt_5_6_sol,7,9,False,737.3710056681101
gpt_5_6_sol,7,10,False,1075.0423247481933
gpt_5_6_sol,7,11,False,131.20975573485381
gpt_5_6_sol,7,12,False,131.20975573485381
gpt_5_6_sol,7,13,True,131.20975573485381
gpt_5_6_sol,7,14,True,131.20975573485381
gpt_5_6_sol,7,15,True,131.20975573485381
gpt_5_6_sol,7,16,True,131.20975573485381
gpt_5_6_sol,7,17,True,131.20975573485381
gpt_5_6_sol,7,18,True,131.20975573485381
gpt_5_6_sol,7,19,True,131.20975573485381
gpt_5_6_sol,7,20,True,131.20975573485381
gpt_5_6_sol,7,21,True,131.20975573485381
gpt_5_6_sol,7,22,True,131.20975573485381
gpt_5_6_sol,7,23,True,131.20975573485381
gpt_5_6_sol,7,24,True,131.20975573485381
gpt_5_6_sol,7,25,True,131.20975573485381
gpt_5_6_sol,7,26,True,131.20975573485381
gpt_5_6_sol,7,27,True,131.20975573485381
gpt_5_6_sol,7,28,True,131.20975573485381
gpt_5_6_sol,7,29,True,131.20975573485381
gpt_5_6_sol,7,30,True,131.20975573485381
gpt_5_6_sol,7,31,True,131.20975573485381
gpt_5_6_sol,7,32,True,131.20975573485381
gpt_5_6_sol,7,33,True,131.20975573485381
gpt_5_6_sol,7,34,True,131.20975573485381
gpt_5_6_sol,7,35,True,131.20975573485381
gpt_5_6_sol,7,36,True,131.20975573485381
gpt_5_6_sol,7,37,True,131.20975573485381
gpt_5_6_sol,7,38,True,131.20975573485381
gpt_5_6_sol,7,39,True,131.20975573485381
gpt_5_6_sol,7,40,True,131.20975573485381
gpt_5_6_sol,7,41,True,131.20975573485381
gpt_5_6_sol,7,42,True,131.20975573485381
gpt_5_6_sol,7,43,True,131.20975573485381
gpt_5_6_sol,7,44,True,131.20975573485381
gpt_5_6_sol,7,45,True,131.20975573485381
gpt_5_6_sol,7,46,True,131.20975573485381
gpt_5_6_sol,7,47,True,131.20975573485381
gpt_5_6_sol,7,48,True,131.20975573485381
gpt_5_6_sol,7,49,True,131.20975573485381
gpt_5_6_sol,7,50,True,131.20975573485381
gpt_5_6_sol,7,51,True,131.20975573485381
gpt_5_6_sol,8,0,False,2943.0304109879667
gpt_5_6_sol,8,1,False,1448.2499784222337
gpt_5_6_sol,8,2,False,182.8332573685652
gpt_5_6_sol,8,3,False,470.56136688002766
gpt_5_6_sol,8,4,False,5440.719437721449
gpt_5_6_sol,8,5,False,2069.1611827018214
gpt_5_6_sol,8,6,False,3066.8270247928886
gpt_5_6_sol,8,7,False,3488.757371901921
gpt_5_6_sol,8,8,False,3337.578163878713
gpt_5_6_sol,8,9,False,2039.4920936350795
gpt_5_6_sol,8,10,False,1563.946290637885
gpt_5_6_sol,8,11,False,1079.839339902006
gpt_5_6_sol,8,12,False,924.1498796191016
gpt_5_6_sol,8,13,False,100.26464980241042
gpt_5_6_sol,8,14,False,100.26464980241042
gpt_5_6_sol,8,15,True,100.26464980241042
gpt_5_6_sol,8,16,True,100.26464980241042
gpt_5_6_sol,8,17,True,100.26464980241042
gpt_5_6_sol,8,18,True,100.26464980241042
gpt_5_6_sol,8,19,True,100.26464980241042
gpt_5_6_sol,8,20,True,100.26464980241042
gpt_5_6_sol,8,21,True,100.26464980241042
gpt_5_6_sol,8,22,True,100.26464980241042
gpt_5_6_sol,8,23,True,100.26464980241042
gpt_5_6_sol,8,24,True,100.26464980241042
gpt_5_6_sol,8,25,True,100.26464980241042
gpt_5_6_sol,8,26,True,100.26464980241042
gpt_5_6_sol,8,27,True,100.26464980241042
gpt_5_6_sol,8,28,True,100.26464980241042
gpt_5_6_sol,8,29,True,100.26464980241042
gpt_5_6_sol,8,30,True,100.26464980241042
gpt_5_6_sol,8,31,True,100.26464980241042
gpt_5_6_sol,8,32,True,100.26464980241042
gpt_5_6_sol,8,33,True,100.26464980241042
gpt_5_6_sol,8,34,True,100.26464980241042
gpt_5_6_sol,8,35,True,100.26464980241042
gpt_5_6_sol,8,36,True,100.26464980241042
gpt_5_6_sol,8,37,True,100.26464980241042
gpt_5_6_sol,8,38,True,100.26464980241042
gpt_5_6_sol,8,39,True,100.26464980241042
gpt_5_6_sol,8,40,True,100.26464980241042
gpt_5_6_sol,8,41,True,100.26464980241042
gpt_5_6_sol,8,42,True,100.26464980241042
gpt_5_6_sol,8,43,True,100.26464980241042
gpt_5_6_sol,8,44,True,100.26464980241042
gpt_5_6_sol,8,45,True,100.26464980241042
gpt_5_6_sol,8,46,True,100.26464980241042
gpt_5_6_sol,8,47,True,100.26464980241042
gpt_5_6_sol,8,48,True,100.26464980241042
gpt_5_6_sol,8,49,True,100.26464980241042
gpt_5_6_sol,8,50,True,100.26464980241042
gpt_5_6_sol,8,51,True,100.26464980241042
gpt_5_6_sol,9,0,False,4095.0877890467746
gpt_5_6_sol,9,1,False,3223.9330017852417
gpt_5_6_sol,9,2,False,5014.553220377664
gpt_5_6_sol,9,3,False,4618.413580440799
gpt_5_6_sol,9,4,False,3769.5814091222383
gpt_5_6_sol,9,5,False,531.9248067161373
gpt_5_6_sol,9,6,False,1389.008279312978
gpt_5_6_sol,9,7,False,2737.8356415241583
gpt_5_6_sol,9,8,False,2958.0642318922014
gpt_5_6_sol,9,9,False,1288.5278421516548
gpt_5_6_sol,9,10,False,2224.9278639991903
gpt_5_6_sol,9,11,False,598.5849981414502
gpt_5_6_sol,9,12,False,2749.862542019146
gpt_5_6_sol,9,13,False,3138.430180838822
gpt_5_6_sol,9,14,False,370.81531791445724
gpt_5_6_sol,9,15,False,2284.798459383234
gpt_5_6_sol,9,16,False,265.1490147068248
gpt_5_6_sol,9,17,False,265.1490147068248
gpt_5_6_sol,9,18,True,265.1490147068248
gpt_5_6_sol,9,19,True,265.1490147068248
gpt_5_6_sol,9,20,True,265.1490147068248
gpt_5_6_sol,9,21,True,265.1490147068248
gpt_5_6_sol,9,22,True,265.1490147068248
gpt_5_6_sol,9,23,True,265.1490147068248
gpt_5_6_sol,9,24,True,265.1490147068248
gpt_5_6_sol,9,25,True,265.1490147068248
gpt_5_6_sol,9,26,True,265.1490147068248
gpt_5_6_sol,9,27,True,265.1490147068248
gpt_5_6_sol,9,28,True,265.1490147068248
gpt_5_6_sol,9,29,True,265.1490147068248
gpt_5_6_sol,9,30,True,265.1490147068248
gpt_5_6_sol,9,31,True,265.1490147068248
gpt_5_6_sol,9,32,True,265.1490147068248
gpt_5_6_sol,9,33,True,265.1490147068248
gpt_5_6_sol,9,34,True,265.1490147068248
gpt_5_6_sol,9,35,True,265.1490147068248
gpt_5_6_sol,9,36,True,265.1490147068248
gpt_5_6_sol,9,37,True,265.1490147068248
gpt_5_6_sol,9,38,True,265.1490147068248
gpt_5_6_sol,9,39,True,265.1490147068248
gpt_5_6_sol,9,40,True,265.1490147068248
gpt_5_6_sol,9,41,True,265.1490147068248
gpt_5_6_sol,9,42,True,265.1490147068248
gpt_5_6_sol,9,43,True,265.1490147068248
gpt_5_6_sol,9,44,True,265.1490147068248
gpt_5_6_sol,9,45,True,265.1490147068248
gpt_5_6_sol,9,46,True,265.1490147068248
gpt_5_6_sol,9,47,True,265.1490147068248
gpt_5_6_sol,9,48,True,265.1490147068248
gpt_5_6_sol,9,49,True,265.1490147068248
gpt_5_6_sol,9,50,True,265.1490147068248
gpt_5_6_sol,9,51,True,265.1490147068248
gemini_3_5_flash,0,0,False,2186.2005854907275
gemini_3_5_flash,0,1,False,5593.163058592159
gemini_3_5_flash,0,2,False,9475.625203647514
gemini_3_5_flash,0,3,False,5318.972927173065
gemini_3_5_flash,0,4,False,7319.069134801228
gemini_3_5_flash,0,5,False,6358.008571872171
gemini_3_5_flash,0,6,False,3322.570240040081
gemini_3_5_flash,0,7,False,731.7602066250938
gemini_3_5_flash,0,8,False,4693.769593833937
gemini_3_5_flash,0,9,False,2703.4742462246613
gemini_3_5_flash,0,10,False,2192.275758201965
gemini_3_5_flash,0,11,False,2313.5844484262943
gemini_3_5_flash,0,12,False,214.83249288690016
gemini_3_5_flash,0,13,False,1760.9295840549673
gemini_3_5_flash,0,14,False,1665.674938275773
gemini_3_5_flash,0,15,False,234.4632167313244
gemini_3_5_flash,0,16,True,234.4632167313244
gemini_3_5_flash,0,17,True,234.4632167313244
gemini_3_5_flash,0,18,True,234.4632167313244
gemini_3_5_flash,0,19,True,234.4632167313244
gemini_3_5_flash,0,20,True,234.4632167313244
gemini_3_5_flash,0,21,True,234.4632167313244
gemini_3_5_flash,0,22,True,234.4632167313244
gemini_3_5_flash,0,23,True,234.4632167313244
gemini_3_5_flash,0,24,True,234.4632167313244
gemini_3_5_flash,0,25,True,234.4632167313244
gemini_3_5_flash,0,26,True,234.4632167313244
gemini_3_5_flash,0,27,True,234.4632167313244
gemini_3_5_flash,0,28,True,234.4632167313244
gemini_3_5_flash,0,29,True,234.4632167313244
gemini_3_5_flash,0,30,True,234.4632167313244
gemini_3_5_flash,0,31,True,234.4632167313244
